Pais,Superficie,Habitantes,Continente
Isla de Man,572,85000,Europa
Isla de Navidad,135,2000,Asia
Islandia,103000,393000,Europa
Islas Caimán,264,89000,América (Caribe)
Islas Cook,236,15000,Oceanía
Islas Feroe,1393,55000,Europa
Islas Marianas del Norte,464,44000,Oceanía
Islas Marshall,181,39000,Oceanía
Islas Pitcairn,47,30,Oceanía
Islas Salomón,28896,763000,Oceanía
Islas Turcas y Caicos,948,54000,América (Caribe)
Islas Vírgenes Británicas,151,40000,América (Caribe)
Islas Vírgenes de los Estados Unidos,346,78000,América (Caribe)
Israel,20770,10104000,Asia
Italia,301340,58918000,Europa
Jamaica,10991,2775000,América (Caribe)
Japón,377975,123324000,Asia
Jersey,116,106000,Europa
Jordania,89342,11850000,Asia
Kazajistán,2724900,20386000,Asia (Asia Central)
Kenia,580367,53331000,África
Kirguistán,199951,7367000,Asia (Asia Central)
Kiribati,811,129000,Oceanía
Kosovo,10887,1587000,Europa
Kuwait,17818,4956000,Asia
Isla Norfolk,35,3000,Oceanía
Islas Cocos,14,600,Asia
Laos,236800,7792000,Asia
las Islas Malvinas,12173,4000,América del Sur
las Maldivas,298,562000,Asia
Lesoto,30355,2132000,África
Letonia,64589,1831000,Europa
Líbano,10400,5849000,Asia
Liberia,111369,5655000,África
Libia,1759540,7459000,África
Liechtenstein,160,41000,Europa
Lituania,65300,2908000,Europa
Luxemburgo,2586,688000,Europa
Macao,28,688000,Asia
Macedonia del Norte,25713,1813000,Europa
Madagascar,587041,32149000,África
Malasia,330803,34233000,Asia
Malaui,118484,20741000,África
Mali,1240192,24745000,África
Malta,316,584000,Europa
Marruecos,446550,37712000,África
Martinica,1128,346000,América (Caribe)
Mauricio,2040,1244000,África
Mauritania,1030700,5163000,África
Mayotte,374,343000,África
México,1964375,131013000,América del Norte
Moldavia,33851,2849000,Europa
Mónaco,2,38000,Europa
Mongolia,1564116,3582000,Asia
Montenegro,13812,623000,Europa
Montserrat,102,4000,América del Norte
Mozambique,799380,34331000,África
Namibia,824292,3185000,África
Nauru,21,12000,Oceanía
Nepal,147181,29912000,Asia
Nicaragua,130370,6946000,América Central
Niger,1267000,27303000,África
Nigeria,923768,236213000,África
Niue,260,2000,Oceanía
Noruega,386224,5607000,Europa
Nueva Caledonia,18575,295000,Oceanía
Nueva Zelanda,267710,5325000,Oceanía
Omán,309500,5308000,Asia
Países Bajos,41865,18081000,Europa
Pakistán,881913,256204000,Asia
Palaos,459,14000,Oceanía
Palestina,6020,5745000,Asia
Panamá,75517,4208000,América Central
Papúa Nueva Guinea,462840,14293000,Oceanía
Paraguay,406752,6246000,América del Sur
Perú,1285216,34350000,América del Sur
Polinesia Francesa,4167,280000,Oceanía
Polonia,312685,37386000,Europa
Portugal,92212,10652000,Europa
Puerto Rico,9100,3189000,América (Caribe)
Reino Unido,243610,69611000,Europa
República Árabe Saharaui,266000,686000,África
República Centroafricana,623000,6567000,África
República Checa,78867,10883000,Europa
República de China,36197,23337000,Asia
República del Congo,342000,6569000,África
República Democrática del Congo,2344858,112832000,África
República Dominicana,48670,11092000,América (Caribe)
República Popular China,9596960,1407934000,Asia
Reunión,2512,887000,África
Ruanda,26338,14118000,África
Rumania,238391,19033000,Europa
Rusia,17098246,146022000,Europa y Asia
Samoa Americana,199,47000,Oceanía
Samoa,2831,213000,Oceanía
San Bartolomé,21,10000,América (Caribe)
San Cristobal y Nieves,261,47000,América (Caribe)
San Marino,61,34000,Europa
San Martín,54,42000,América (Caribe)
San Pedro y Miquelón,242,6000,América
San Vicente y las Granadinas,389,111000,América (Caribe)
Santa ElenaAscensión y Tristán de Acuña,308,5000,África
Santa Lucía,616,175000,América (Caribe)
Santo Tomé y Príncipe,964,211000,África
Senegal,196722,19161000,África
Serbia,88361,6549000,Europa
Seychelles,455,123000,África
Sierra Leona,71740,9078000,África
Singapur,728,6159000,Asia
Siria,185180,23607000,Asia
Somalia,637657,19655000,África
Sri Lanka,65610,21824000,Asia
Suazilandia,17364,1250000,África
Sudáfrica,1219090,63103000,África
Sudán del Sur,644329,15787000,África
Sudán,1861484,51662000,África
Suecia,450295,10596000,Europa
Suiza,41277,9083000,Europa
Surinam,163820,640000,América del Sur
Tailandia,513120,66935000,Asia
Tanzania,947300,68153000,África
Tayikistán,143100,10602000,Asia
Togo,56785,8588000,África
Tokelau,12,2000,Oceanía
Tonga,747,100000,Oceanía
Trinidad y Tobago,5128,1371000,América (Caribe)
Túnez,163610,12011000,África
Turkmenistán,488100,7355000,Asia
Turquía,783562,86021000,Europa y Asia
Tuvalu,26,11000,Oceanía
Ucrania,603550,38980000,Europa
Uganda,241038,47453000,África
Uruguay,176215,3515000,América del Sur
Uzbekistán,447400,37860000,Asia
Vanuatu,12189,335000,Oceanía
Venezuela,916445,28517000,América del Sur
Vietnam,331210,102301000,Asia
Wallis and Futuna,142,11000,Oceanía
Yemen,527968,34524000,Asia
Yibuti,23200,1086000,África
Zambia,752618,21688000,África
Zimbabue,390757,15952000,África
